Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7BuHdm4lQqcyG3qTwdkxus,"Aullando","Los Campeones del Pueblo ""The Big Leagues""","Wisin & Yandel;Romeo Santos",2018-12-14,228111,67,false,,2020-12-05T01:48:00Z,"reggaeton,urbano latino,bachata,latin","Sony Music Latin",0.8,0.74,10,-4.52,0,0.0479,0.184,0,0.0558,0.775,90.035,4
spotify:track:7cSJL1KpljCNpfLbGkBvvi,"Que Pasen los Días","Mesa Para Dos","Kany García;Gusttavo Lima",2020-05-28,190074,44,false,,2020-12-05T01:41:58Z,"latin pop,sertanejo,sertanejo universitário,arrocha,agronejo,piseiro,forró","Sony Music Latin",0.719,0.306,7,-9.472,1,0.0676,0.843,0,0.0757,0.566,141.895,4
spotify:track:3sTVMGhTdyyLM67WyYhYMB,"7 Días","Fórmula, Vol. 2 (Deluxe Edition)","Romeo Santos",2014-02-25,253200,70,false,,2020-12-05T01:34:19Z,"bachata,latin","Sony Music Latin",0.854,0.751,6,-5.243,1,0.0301,0.417,0.00000301,0.0894,0.925,125.011,4
spotify:track:30oZjF87SHCd0CE0ttGm5U,"Carita de Inocente","ALTER EGO","Prince Royce",2020-02-07,191209,62,false,,2020-12-05T01:34:12Z,"bachata,latin","Sony Music Latin",0.573,0.691,10,-5.142,0,0.0601,0.123,0,0.0746,0.93,129.946,4
spotify:track:1WbXIpiGBJkCiv3hn40iPB,"Sobredosis (feat. Ozuna)","Golden","Romeo Santos;Ozuna",2017-07-21,198332,78,false,,2020-12-05T01:16:18Z,"bachata,latin,reggaeton,trap latino,urbano latino","Sony Music Latin",0.759,0.639,4,-8.085,0,0.0511,0.207,0,0.23,0.682,128.01,4
spotify:track:0vOU4wzq4KOLZia5bOMix0,"Deja vu","Deja vu","Prince Royce;Shakira",2017-02-20,196480,0,false,,2020-12-05T01:11:53Z,"bachata,latin,latin pop","Sony Music Latin",0.732,0.801,9,-3.859,1,0.0327,0.39,0,0.31,0.824,123.981,4
spotify:track:1Q8NiatGDc6YgefNwT7Jgu,"Te Perdiste Mi Amor (feat. Prince Royce)","Habítame Siempre (Bonus Tracks Version)","Thalia;Prince Royce",2012-11-19,220066,60,false,,2020-12-05T01:11:20Z,"latin pop,bachata,latin","Sony Music Latin",0.8,0.723,0,-6.404,0,0.0353,0.344,0,0.0956,0.916,128.017,4
spotify:track:0kOUusNPraZGQfqcnA1zoP,"Wave (feat. Mike Sabath)","TREAT MYSELF","Meghan Trainor;Mike Sabath",2020-01-31,176947,41,true,,2020-11-10T00:54:42Z,"","Epic",0.586,0.542,5,-6.883,1,0.185,0.0254,0.0000021,0.131,0.43,125.078,4
spotify:track:2IY537C2ecmUMJ46bYQggp,"heart won't let me","mama's boy","LANY",2020-10-02,199506,54,false,,2020-10-13T02:18:56Z,"","Polydor Records",0.607,0.655,0,-8.055,1,0.0341,0.261,0,0.114,0.255,136.028,4
spotify:track:2YoOaGlM2zGpYBanN3AxrV,"I Can't (feat. Old Dominion)","Supernova (Deluxe)","Caitlyn Smith;Old Dominion",2020-09-25,210146,42,false,,2020-10-11T00:35:43Z,"pop country,country","Monument Records",0.499,0.667,0,-4.336,1,0.0325,0.2,0,0.0894,0.38,137.905,4
spotify:track:0gbLfFlEyVHiKzlZIb0gce,"How Far We've Come","Exile on Mainstream","Matchbox Twenty",2007-10-02,212253,55,false,,2020-10-09T20:53:57Z,"post-grunge","Atlantic Records",0.566,0.906,0,-5.092,1,0.0642,0.00452,0,0.21,0.787,83,4
spotify:track:2toY6JyyfKy9TwNk3Ou2XG,"She's so Mean","North (Deluxe Edition)","Matchbox Twenty",2012-08-28,232320,62,false,,2020-10-09T20:49:25Z,"post-grunge","Emblem/Atlantic",0.672,0.875,0,-3.728,1,0.0378,0.0136,0,0.279,0.676,118.014,4
